iter	Passed	Remaining
0	206	206438
1	207	103619
2	208	69341
3	209	52146
4	210	41859
5	211	35007
6	212	30109
7	213	26422
8	213	23562
9	214	21259
10	215	19390
11	216	17821
12	217	16493
13	217	15351
14	218	14364
15	219	13509
16	220	12757
17	221	12085
18	223	11532
19	224	11024
20	226	10572
21	227	10124
22	228	9709
23	229	9329
24	230	8983
25	231	8690
26	232	8393
27	233	8121
28	234	7866
29	235	7620
30	236	7391
31	237	7179
32	238	6981
33	239	6818
34	240	6642
35	241	6474
36	242	6315
37	243	6165
38	244	6028
39	246	5904
40	247	5791
41	248	5669
42	249	5552
43	250	5442
44	251	5332
45	252	5228
46	252	5129
47	254	5049
48	255	4959
49	257	4896
50	258	4815
51	259	4731
52	260	4650
53	261	4572
54	261	4498
55	262	4425
56	263	4355
57	264	4289
58	264	4226
59	265	4166
60	267	4115
61	268	4057
62	269	4004
63	271	3967
64	272	3919
65	273	3867
66	274	3815
67	274	3761
68	275	3712
69	275	3665
70	276	3620
71	277	3577
72	278	3534
73	279	3491
74	279	3450
75	280	3412
76	282	3384
77	283	3350
78	284	3316
79	286	3294
80	287	3262
81	288	3226
82	289	3192
83	289	3160
84	290	3125
85	291	3094
86	291	3060
87	292	3030
88	293	3001
89	293	2971
90	294	2943
91	295	2917
92	296	2896
93	297	2870
94	298	2846
95	300	2829
96	301	2809
97	302	2785
98	303	2761
99	304	2737
100	304	2714
101	305	2688
102	306	2665
103	306	2642
104	307	2620
105	308	2598
106	308	2577
107	309	2557
108	311	2542
109	311	2524
110	312	2505
111	313	2488
112	315	2479
113	316	2461
114	317	2442
115	318	2424
116	318	2406
117	319	2389
118	320	2370
119	320	2353
120	321	2337
121	322	2320
122	322	2302
123	323	2286
124	324	2270
125	325	2255
126	326	2244
127	326	2227
128	327	2213
129	328	2198
130	329	2185
131	330	2172
132	331	2161
133	334	2160
134	335	2148
135	336	2135
136	337	2123
137	337	2110
138	338	2099
139	339	2086
140	341	2079
141	342	2072
142	343	2060
143	344	2048
144	345	2036
145	346	2024
146	346	2012
147	347	2001
148	348	1989
149	349	1978
150	349	1967
151	350	1956
152	351	1945
153	352	1933
154	352	1923
155	353	1913
156	354	1903
157	356	1901
158	358	1893
159	358	1883
160	359	1873
161	360	1863
162	361	1854
163	362	1845
164	362	1836
165	363	1826
166	364	1817
167	365	1808
168	365	1798
169	366	1789
170	367	1781
171	368	1772
172	369	1764
173	370	1758
174	372	1753
175	372	1745
176	373	1737
177	374	1728
178	375	1720
179	375	1712
180	376	1702
181	376	1693
182	377	1685
183	378	1677
184	379	1669
185	379	1661
186	380	1654
187	381	1646
188	382	1639
189	382	1631
190	383	1625
191	385	1620
192	386	1615
193	387	1609
194	388	1601
195	388	1594
196	389	1587
197	390	1580
198	390	1573
199	391	1566
200	392	1560
201	393	1553
202	393	1546
203	394	1539
204	395	1533
205	396	1526
206	396	1520
207	397	1513
208	398	1507
209	399	1502
210	401	1499
211	401	1494
212	402	1488
213	403	1482
214	404	1475
215	404	1469
216	405	1464
217	406	1457
218	407	1451
219	407	1446
220	408	1440
221	409	1434
222	410	1428
223	410	1423
224	411	1418
225	412	1412
226	413	1407
227	414	1404
228	416	1400
229	417	1396
